customer_id,region,network_type,plan_type,monthly_data_usage_gb,avg_call_drop_rate,bill_shock_flag,support_calls_30d,csat_score,payment_failures_30d,tenure_months,early_warning_flag,offer_sent,churn_flag,ltv_6m
TEL_0,Suburban,4G,Postpaid,27.88771746861889,1.8417340637643025,1,1,2,0,67,0,0,0,71.02127245308964
TEL_1,Urban,4G,Postpaid,18.40039679709143,4.611248826215472,0,2,3,0,11,0,0,1,53.064426043591695
TEL_2,Suburban,4G,Postpaid,23.325850214278063,0.520074222211262,0,1,3,0,86,1,1,1,67.36116606260741
TEL_3,Rural,4G,Postpaid,10.773007535644927,1.7657017730133717,0,0,4,0,31,0,0,0,-25.10742680868634
TEL_4,Suburban,5G,Postpaid,37.632833706781874,0.653397492219357,0,4,1,0,51,1,0,1,275.65830199033894
TEL_5,Suburban,4G,Prepaid,26.921815473781948,1.3372257837848394,1,1,4,0,35,0,0,1,126.70600118398164
TEL_6,Urban,5G,Prepaid,21.577492351091045,2.1106272661838226,0,1,4,0,47,0,0,0,262.68880714559765
TEL_7,Suburban,5G,Postpaid,14.414812100835094,3.0057179294335645,0,4,5,2,33,1,0,1,183.4008044332257
TEL_8,Suburban,4G,Prepaid,26.563359070937707,1.9172024150864235,1,0,1,0,67,0,0,1,58.070534874028
TEL_9,Rural,4G,Prepaid,8.352182124356238,2.0223655045510807,0,1,4,2,64,0,0,0,11.776822153539294
TEL_10,Urban,5G,Prepaid,14.274086042525838,4.0545741442630385,0,2,1,0,46,0,0,0,197.9084623421613
TEL_11,Urban,5G,Prepaid,22.190209546321878,3.9924247705188747,0,0,3,0,81,0,0,1,268.5544468842901
TEL_12,Urban,4G,Prepaid,5.329451804522034,4.495063792848722,0,1,5,0,34,0,1,1,29.84726485425434
TEL_13,Rural,4G,Postpaid,17.78538529681121,4.909435797182434,0,0,3,0,6,0,1,0,69.16111405905421
TEL_14,Rural,5G,Prepaid,8.710856557834937,4.091151212684536,0,4,4,1,56,0,0,1,165.23690478893022
TEL_15,Suburban,4G,Postpaid,4.261000809619623,1.285556656641338,0,3,2,0,52,0,0,0,-7.7719613383607165
TEL_16,Urban,5G,Postpaid,24.950924337504183,2.909940140532309,0,2,4,0,67,0,1,0,248.87309847676462
TEL_17,Suburban,4G,Postpaid,28.175471533681474,3.7625666518284,0,1,1,0,42,1,0,1,59.01143037804658
TEL_18,Urban,4G,Prepaid,39.27149036509158,3.045748390754364,0,1,4,0,73,1,1,0,99.12606509291538
TEL_19,Suburban,5G,Postpaid,18.058943206326937,0.9711454393058155,0,0,4,1,37,1,0,1,274.362011005118
TEL_20,Suburban,5G,Postpaid,20.845638324350936,4.365357767469761,0,1,4,0,69,0,0,1,183.8773230889115
TEL_21,Rural,4G,Prepaid,14.922674117454417,1.8750506506068327,0,2,2,0,42,0,1,0,-3.4029709773053796
TEL_22,Suburban,5G,Postpaid,28.883245538338713,4.821937478366713,0,1,2,0,43,0,1,1,329.61976883183974
