customer_id,geo_region,device_type,orders_30d,cart_abandonment_rate,avg_order_value,delivery_delay_flag,returns_90d,avg_review_rating,support_tickets_30d,tenure_months,early_warning_flag,offer_sent,churn_flag,ltv_6m
ECOM_0,EU,Desktop,3,0.1388024396832206,194.16479039547474,0,0,5,2,5,0,0,1,668.528208228112
ECOM_1,APAC,Desktop,2,0.6195730176711127,142.2896564309726,0,2,4,0,68,1,0,1,586.0155224924459
ECOM_2,EU,Mobile,9,0.6599635516399134,103.06516860291111,1,1,5,1,56,0,0,1,492.04489480247764
ECOM_3,APAC,Desktop,3,0.4685271613493466,80.86678615580152,1,1,5,1,3,0,1,0,331.2298351698296
ECOM_4,NA,Mobile,3,0.07959596524889578,70.92205327429258,0,2,4,0,3,0,1,1,232.8306202056444
ECOM_5,APAC,Mobile,0,0.2924678985428485,56.28370367984558,1,1,5,3,54,0,0,1,333.4892718331473
ECOM_6,NA,Mobile,5,0.9029422107771163,39.53334218344024,0,4,4,1,41,0,1,1,166.9449312401111
ECOM_7,EU,Desktop,4,0.39711704672911907,125.87529797996945,0,1,4,1,7,0,0,1,582.8450600227699
ECOM_8,APAC,Desktop,2,0.11251463493971436,118.31950644748271,0,0,5,0,10,0,1,1,529.1902007265604
ECOM_9,APAC,Desktop,1,0.10849629602961164,53.11719548191955,0,1,3,1,35,0,0,1,290.450795734423
ECOM_10,EU,Desktop,0,0.9471421676580936,38.70912388553397,0,1,5,3,14,1,0,1,221.6318774854473
ECOM_11,EU,Mobile,4,0.0019199046558543431,105.41451565998345,0,1,4,1,6,0,0,0,362.6378306084646
ECOM_12,NA,Mobile,3,0.9663838128262014,65.54414451208355,0,0,2,2,65,0,1,1,361.2701527683538
ECOM_13,NA,Desktop,1,0.5922961828453653,52.055139589748244,1,2,4,4,2,0,0,1,158.9340639849944
ECOM_14,NA,Mobile,2,0.44387192450151547,69.96402995615925,0,0,2,1,17,0,0,1,308.8340381548617
ECOM_15,NA,Mobile,2,0.7341901620389693,51.94219522840977,0,1,5,1,7,1,0,0,195.67573436919093
ECOM_16,EU,Desktop,6,0.7369638212882529,65.31889165441949,1,0,4,2,43,0,1,1,313.3514455963566
ECOM_17,NA,Mobile,7,0.3903946491318052,134.97753972410374,1,0,5,3,52,0,1,0,640.5270421733181
ECOM_18,EU,Mobile,2,0.6315117219558134,47.77078304533403,0,0,5,1,14,0,0,1,307.84948873151086
ECOM_19,APAC,Mobile,3,0.03561038060901556,61.2161321889368,0,1,4,1,11,1,1,0,393.2324837615623
ECOM_20,EU,Mobile,0,0.35402256591809445,74.36793388591451,1,0,5,0,51,0,1,0,428.50120775517166
ECOM_21,APAC,Desktop,5,0.6465207432202508,13.82309673092288,0,0,3,2,47,0,0,0,144.61055430489694
ECOM_22,NA,Mobile,0,0.9381277052316197,74.37155771369648,0,0,4,3,24,0,0,1,366.1806393086515
ECOM_23,EU,Desktop,6,0.24492657848759614,101.51117134084754,1,2,4,1,40,1,0,1,455.40238877256996
ECOM_24,APAC,Mobile,2,0.3493151004932754,50.28464583391906,0,1,5,0,48,0,0,0,297.340503812081
ECOM_25,EU,Desktop,6,0.007997861608809886,133.35203318434398,0,1,4,0,20,0,0,0,537.2301287468858
ECOM_26,APAC,Desktop,3,0.3535611565003328,204.3124424849629,0,2,3,2,24,0,0,0,764.9416449498484
ECOM_27,EU,Mobile,7,0.23141232646339038,213.36074762407648,1,0,3,0,36,1,0,1,914.7135219409953
ECOM_28,APAC,Desktop,6,0.8210546244005382,165.68577731357928,0,0,5,1,49,0,0,1,842.4615282293676
ECOM_29,EU,Mobile,4,0.7054573718626587,53.75738403576926,0,0,4,1,39,0,1,1,277.99534484488737
ECOM_30,NA,Mobile,3,0.39171996048318813,85.03946969299506,0,0,4,0,34,0,0,1,444.2554810562397
ECOM_31,APAC,Mobile,4,0.1685776005876013,32.18748482859635,0,1,1,1,6,0,1,1,205.75320737820357
ECOM_32,EU,Mobile,1,0.501309848887466,24.79514542765563,0,3,3,2,39,0,0,1,304.41877882292124
ECOM_33,NA,Mobile,4,0.0829209204175253,148.18658699946988,1,0,4,1,27,0,1,1,585.957248695761
ECOM_34,EU,Desktop,4,0.47688021341425235,68.99104561857611,0,0,5,0,54,1,0,0,380.4406928124136
ECOM_35,APAC,Mobile,7,0.062234790289989905,49.058646957291515,0,1,4,1,20,0,1,1,316.052658931696
ECOM_36,APAC,Desktop,2,0.49116350656826724,37.818365423510954,0,2,5,1,26,1,1,0,218.57821654270492
ECOM_37,APAC,Desktop,1,0.6257326236509662,48.81437273454899,0,2,4,2,38,0,0,1,259.91392476894725
ECOM_38,EU,Desktop,3,0.7820401936951109,126.0715813913269,0,2,2,0,29,1,1,1,552.177178979777
ECOM_39,EU,Desktop,6,0.4004291066299406,65.4342436811051,1,0,1,0,6,0,0,0,358.339671480478
ECOM_40,APAC,Desktop,2,0.5216519944494594,21.897269280050892,0,2,4,0,1,0,0,0,98.15110380619073
ECOM_41,NA,Mobile,1,0.3937346496028188,74.17450592505377,0,0,4,2,2,0,0,1,358.0634985684484
ECOM_42,APAC,Desktop,3,0.8692043407110365,77.90396055134757,0,0,2,1,34,0,0,1,361.7604889031455
ECOM_43,EU,Mobile,5,0.9027801467626821,68.24345255061705,0,2,4,1,30,1,0,1,355.48471649645217
ECOM_44,APAC,Desktop,2,0.8929732732461189,169.6492994352871,1,0,5,0,23,0,0,1,627.9987979275272
ECOM_45,NA,Mobile,7,0.397471466488553,125.38780149522486,1,1,2,2,10,0,0,1,515.4815360068981
ECOM_46,EU,Desktop,2,0.8646816044167651,128.74122370866317,0,1,5,0,29,1,0,1,589.7756174257414
ECOM_47,APAC,Desktop,3,0.7086785946697993,52.79747531306016,0,0,5,2,7,0,0,0,170.54456655480772
ECOM_48,APAC,Desktop,0,0.24504347219794798,143.1868261342329,0,1,3,1,68,0,0,1,592.6327207074767
ECOM_49,EU,Desktop,2,0.28687923239618596,72.1967973723565,0,1,5,1,7,0,1,1,292.2744498674688
ECOM_50,APAC,Desktop,1,0.6575035777246282,33.960133777901284,0,3,3,2,69,1,1,1,217.09441971314646
ECOM_51,APAC,Desktop,2,0.8545421463445461,57.56835358111526,0,0,5,0,53,1,0,1,341.11275050505526
ECOM_52,NA,Mobile,3,0.34541435790895936,38.63981379938832,0,0,5,3,1,0,0,0,160.7164184263338
ECOM_53,APAC,Mobile,2,0.42960146007787503,24.2494391534986,0,0,5,1,2,1,0,0,145.25302913480772
ECOM_54,NA,Mobile,3,0.5042443338839131,82.32849932979563,0,1,1,0,41,0,0,1,335.2189467335595
ECOM_55,APAC,Mobile,2,0.6317523535820821,103.70827051597436,1,1,5,1,12,0,0,1,425.58293578944944
ECOM_56,NA,Mobile,3,0.06445665516195409,3.131640209074856,0,1,4,1,19,1,0,0,178.57957165596648
ECOM_57,APAC,Mobile,1,0.6804077944518412,49.28800282992199,0,2,5,2,53,1,0,1,305.2377874164772
ECOM_58,NA,Mobile,1,0.4404006547721777,86.904445475117,0,0,4,0,17,0,0,1,442.78014535883256
ECOM_59,APAC,Desktop,1,0.6974681891376949,125.13458415574937,0,2,4,2,69,0,0,0,599.7517340502899
ECOM_60,APAC,Mobile,3,0.9415884126753834,38.386412967850895,0,0,3,0,66,0,0,0,237.8067860705687
ECOM_61,APAC,Mobile,1,0.6278861810170571,135.3613843114949,0,1,4,2,45,0,0,1,668.4187767095794
ECOM_62,APAC,Desktop,3,0.36270177931361847,47.60853243033825,1,1,4,0,52,0,0,1,396.60602001295763
ECOM_63,APAC,Desktop,2,0.8386421455545898,91.91239571958367,0,0,5,1,19,0,0,1,481.93205647063957
ECOM_64,APAC,Mobile,5,0.9036360515328526,60.03574916368592,1,1,3,1,30,0,1,1,345.7928594310926
ECOM_65,APAC,Mobile,3,0.20403669107096922,214.26693639359593,0,0,3,2,62,1,0,0,812.007153017662
ECOM_66,APAC,Desktop,1,0.3284195544794478,9.360600251851666,0,2,2,0,67,0,0,1,262.45783622849785
ECOM_67,EU,Mobile,2,0.17011421786027603,91.2013193368474,0,0,3,1,30,1,1,0,377.58247057568536
ECOM_68,APAC,Desktop,6,0.22645811138301353,106.02425016566517,0,1,4,0,36,0,0,1,589.6604803676269
ECOM_69,EU,Desktop,5,0.8800162256450783,204.21370144294244,0,0,4,1,40,0,0,1,841.5166591206385
ECOM_70,EU,Mobile,2,0.4386426264880464,26.080290987617385,0,0,4,0,34,0,0,1,153.37105660785255
ECOM_71,EU,Mobile,1,0.8641957565939349,50.303276113009076,0,1,4,1,36,0,1,0,363.7884936414412
ECOM_72,APAC,Mobile,3,0.18625202175317135,104.21655447370378,1,1,4,2,62,0,1,0,448.5664483036522
ECOM_73,NA,Mobile,3,0.3541745216391331,56.719339493796014,0,0,4,1,68,0,0,1,368.83523766222567
ECOM_74,EU,Mobile,8,0.9405479319120975,35.42816155870229,0,3,3,0,50,0,1,0,291.0335582232658
ECOM_75,NA,Mobile,2,0.6483279507584522,70.67127239533923,0,3,5,1,67,0,0,1,399.1095973883474
ECOM_76,EU,Desktop,4,0.7470976162696144,87.52411757180134,0,2,4,2,15,0,0,1,339.5949511157539
ECOM_77,NA,Mobile,2,0.7183937175234668,37.51404141661002,1,0,2,1,64,0,1,1,305.9793107182578
ECOM_78,NA,Desktop,4,0.7500874896080685,154.3078982664737,0,0,5,1,52,0,0,1,781.6583736748862
ECOM_79,EU,Mobile,2,0.3906009051668661,65.47519013705343,0,1,3,5,3,0,0,0,279.96301328461993
ECOM_80,APAC,Desktop,1,0.2955797176823317,83.75059967389329,1,1,2,1,22,1,1,1,334.8325360082663
ECOM_81,NA,Desktop,3,0.6516766286271928,69.90502885377204,0,2,1,0,62,1,0,1,293.04587671935997
ECOM_82,NA,Desktop,3,0.6020512134493634,16.777792781004887,0,2,3,0,18,1,0,1,190.13965046211817
ECOM_83,NA,Desktop,2,0.1495692422234297,263.648411420902,1,1,3,0,61,0,0,1,1001.9556678972868
ECOM_84,APAC,Mobile,1,0.009554075048530675,65.3260177472318,0,1,2,2,23,0,1,1,399.09829263922506
ECOM_85,APAC,Mobile,5,0.11196722873208431,135.64966834129083,0,0,3,1,31,0,0,1,585.4323697315439
ECOM_86,EU,Desktop,1,0.8615444094766355,54.6158325972868,0,2,4,1,46,0,0,1,353.91323425789784
ECOM_87,EU,Mobile,2,0.03788801196902003,76.11390500180005,0,0,5,2,9,1,0,1,418.14804009048476
ECOM_88,APAC,Mobile,3,0.799191910660691,81.41600013141,0,1,5,0,20,0,0,1,375.3308895189091
ECOM_89,EU,Mobile,4,0.6206528083966564,55.194569115461874,0,0,4,1,49,0,1,1,391.63386551577673
ECOM_90,APAC,Mobile,3,0.09014581564941748,96.34146834284724,0,1,3,1,61,1,1,0,420.3532475614572
ECOM_91,APAC,Desktop,4,0.3207862501831601,65.29686954555372,0,2,4,1,13,1,0,1,309.2446132720041
ECOM_92,EU,Mobile,3,0.7532202481371305,30.39620698979444,0,1,3,0,19,0,0,1,214.51663027121307
ECOM_93,APAC,Mobile,4,0.846117659496995,190.01267846405895,1,1,5,1,10,1,1,1,744.1883371841011
ECOM_94,NA,Mobile,5,0.8395291808908059,70.42471476237631,1,1,5,0,46,0,0,1,354.8664212674177
ECOM_95,APAC,Desktop,1,0.06048677854088669,47.41104868127375,0,1,1,1,39,0,1,1,303.0798787276006
ECOM_96,EU,Desktop,3,0.26695456987981014,212.1837664745945,0,1,4,0,45,1,0,1,794.7303794115531
ECOM_97,APAC,Mobile,4,0.6286053871917047,47.84504521717257,0,0,4,3,62,0,0,0,267.5695813852799
ECOM_98,APAC,Desktop,3,0.9215800531005687,56.13738442418197,0,1,3,1,10,0,0,0,258.68364753838114
ECOM_99,APAC,Mobile,5,0.003674363236999656,25.430892435381395,0,0,5,1,1,0,1,0,136.5273954966562
ECOM_100,APAC,Mobile,6,0.009213467526367536,31.09415886145218,0,0,3,2,32,0,1,1,205.43292501418566
